answer,type,context,question
"The Italian government held anarchists and the Church, particularly the Archbishop of Palermo, responsible for the week-long rebellion that took place in 1866.",factual,"The majority of Sicilians preferred independence to the Savoia kingdom; in 1866, Palermo became the seat of a week-long popular rebellion, which was finally crushed after Martial law was declared. The Italian government blamed anarchists and the Church, specifically the Archbishop of Palermo, for the rebellion and began enacting anti-Sicilian and anti-clerical policies. A new cultural, economic and industrial growth was spurred by several families, like the Florio, the Ducrot, the Rutelli, the Sandron, the Whitaker, the Utveggio, and others. In the early twentieth century Palermo expanded outside the old city walls, mostly to the north along the new boulevards Via Roma, Via Dante, Via Notarbartolo, and Viale della Libertà. These roads would soon boast a huge number of villas in the Art Nouveau style. Many of these were designed by the famous architect Ernesto Basile. The Grand Hotel Villa Igiea, designed by Ernesto Basile for the Florio family, is a good example of Palermitan Art Nouveau. The huge Teatro Massimo was designed in the same period by Giovan Battista Filippo Basile, and built by the Rutelli & Machì building firm of the industrial and old Rutelli Italian family in Palermo, and was opened in 1897.",Who was blamed for the week long rebellion of 1866?
The Dreyse needle gun gained its fame during the Battle of Königgrätz.,factual,"The army was still equipped with the Dreyse needle gun of Battle of Königgrätz fame, which was by this time showing the age of its 25-year-old design. The rifle had a range of only 600 m (2,000 ft) and lacked the rubber breech seal that permitted aimed shots. The deficiencies of the needle gun were more than compensated for by the famous Krupp 6-pounder (3 kg) steel breech-loading cannons being issued to Prussian artillery batteries. Firing a contact-detonated shell, the Krupp gun had a longer range and a higher rate of fire than the French bronze muzzle loading cannon, which relied on faulty time fuses.",In which battle did the Dreyse needle gun gain its fame?
The Parthians' art was comprised of a blend of Iranian and Hellenistic artwork.,factual,"Iranian art encompasses many disciplines, including architecture, painting, weaving, pottery, calligraphy, metalworking, and stonemasonry. The Median and Achaemenid empires left a significant classical art scene which remained as basic influences for the art of the later eras. Art of the Parthians was a mixture of Iranian and Hellenistic artworks, with their main motifs being scenes of royal hunting expeditions and investitures. The Sassanid art played a prominent role in the formation of both European and Asian medieval art, which carried forward to the Islamic world, and much of what later became known as Islamic learning, such as philology, literature, jurisprudence, philosophy, medicine, architecture, and science, were of Sassanid basis.",A blend of Iranian and what other type of artwork were the Parthians' art comprised of?
Burke believed that the British Empire should be governed based on a plan of freedom.,factual,"The historian Piers Brendon asserts that Burke laid the moral foundations for the British Empire, epitomised in the trial of Warren Hastings, that was ultimately to be its undoing: when Burke stated that ""The British Empire must be governed on a plan of freedom, for it will be governed by no other"", this was ""...an ideological bacillus that would prove fatal. This was Edmund Burke's paternalistic doctrine that colonial government was a trust. It was to be so exercised for the benefit of subject people that they would eventually attain their birthright—freedom"". As a consequence of this opinion, Burke objected to the opium trade, which he called a ""smuggling adventure"" and condemned ""the great Disgrace of the British character in India"".",What did Burke think the British Empire should be governed based on?
There are 31 planes of existence.,factual,"The above are further subdivided into 31 planes of existence.[web 4] Rebirths in some of the higher heavens, known as the Śuddhāvāsa Worlds or Pure Abodes, can be attained only by skilled Buddhist practitioners known as anāgāmis (non-returners). Rebirths in the Ārūpyadhātu (formless realms) can be attained by only those who can meditate on the arūpajhānas, the highest object of meditation.",How many planes of existence?
Religious conflict in Europe came to an end in 1648 with the signing of the Peace of Westphalia.,factual,"The Reconquista of Portugal and Spain led to a series of oceanic explorations resulting in the Age of Discovery that established direct links with Africa, the Americas, and Asia, while religious wars continued to be fought in Europe, which ended in 1648 with the Peace of Westphalia. The Spanish crown maintained its hegemony in Europe and was the leading power on the continent until the signing of the Treaty of the Pyrenees, which ended a conflict between Spain and France that had begun during the Thirty Years' War. An unprecedented series of major wars and political revolutions took place around Europe and indeed the world in the period between 1610 and 1700. Observers at the time, and many historians since, have argued that wars caused the revolutions. Galileo Galilei, invented the telescope and the thermometer which allowed him to observe and describe the solar system. Leonardo da Vinci painted the most famous work in the world. Guglielmo Marconi invented the radio.",When did religious conflict end in Europe?
The total area of Boston is 89.6 square miles.,factual,"Boston has an area of 89.6 square miles (232.1 km2)—48.4 square miles (125.4 km2) (54.0%) of land and 41.2 square miles (106.7 km2) (46.0%) of water. The city's official elevation, as measured at Logan International Airport, is 19 ft (5.8 m) above sea level. The highest point in Boston is Bellevue Hill at 330 feet (100 m) above sea level, and the lowest point is at sea level. Situated onshore of the Atlantic Ocean, Boston is the only state capital in the contiguous United States with an oceanic coastline.",What is the total area of Boston?
A VHF omnidirectional range (VOR) is a system that assists pilots in finding the direction to the airport.,factual,"There are a number of aids available to pilots, though not all airports are equipped with them. A visual approach slope indicator (VASI) helps pilots fly the approach for landing. Some airports are equipped with a VHF omnidirectional range (VOR) to help pilots find the direction to the airport. VORs are often accompanied by a distance measuring equipment (DME) to determine the distance to the VOR. VORs are also located off airports, where they serve to provide airways for aircraft to navigate upon. In poor weather, pilots will use an instrument landing system (ILS) to find the runway and fly the correct approach, even if they cannot see the ground. The number of instrument approaches based on the use of the Global Positioning System (GPS) is rapidly increasing and may eventually be the primary means for instrument landings.",What helps pilots find the direction to the airport?
"The total number of school children killed in the earthquake was 5,335.",factual,"Details of school casualties had been under non-governmental investigation since December 2008 by volunteers including artist and architect Ai Weiwei, who had been constantly posting updates on his blog since March 2009. The official tally of students killed in the earthquake was not released until May 7, 2009, almost a year after the earthquake. According to the state-run Xinhua news agency, the earthquake killed 5,335 students and left another 546 children disabled. In the aftermath of the earthquake, the Chinese government declared that parents who had lost their only children would get free treatment from fertility clinics to reverse vasectomies and tubal ligations conducted by family planning authorities.",What is the total of school children killed?
"In 1814, when Napoleon attempted to make peace, he referred to the Frankfurt proposals as the basis for reopening peace negotiations.",factual,"Napoleon, expecting to win the war, delayed too long and lost this opportunity; by December the Allies had withdrawn the offer. When his back was to the wall in 1814 he tried to reopen peace negotiations on the basis of accepting the Frankfurt proposals. The Allies now had new, harsher terms that included the retreat of France to its 1791 boundaries, which meant the loss of Belgium. Napoleon would remain Emperor, however he rejected the term. The British wanted Napoleon permanently removed; they prevailed. Napoleon adamantly refused.",Which peace initiative did Napoleon refer to when he attempted to make peace in 1814?
Pentecostalism gave rise to the Charismatic movement within established denominations.,factual,"A noteworthy development in 20th-century Protestant Christianity was the rise of the modern Pentecostal movement. Sprung from Methodist and Wesleyan roots, it arose out of meetings at an urban mission on Azusa Street in Los Angeles. From there it spread around the world, carried by those who experienced what they believed to be miraculous moves of God there. These Pentecost-like manifestations have steadily been in evidence throughout the history, such as seen in the two Great Awakenings. Pentecostalism, which in turn birthed the Charismatic movement within already established denominations, continues to be an important force in Western Christianity.",What movement did Pentecostalism create?
"The person who disclosed the CIA's budget for 2005 was Mary Margaret Graham, a former CIA official and deputy director of national intelligence for collection at the time.",factual,"There were numerous previous attempts to obtain general information about the budget. As a result, it was revealed that CIA's annual budget in Fiscal Year 1963 was US $550 million (inflation-adjusted US$ 4.3 billion in 2016), and the overall intelligence budget in FY 1997 was US $26.6 billion (inflation-adjusted US$ 39.2 billion in 2016). There have been accidental disclosures; for instance, Mary Margaret Graham, a former CIA official and deputy director of national intelligence for collection in 2005, said that the annual intelligence budget was $44 billion, and in 1994 Congress accidentally published a budget of $43.4 billion (in 2012 dollars) in 1994 for the non-military National Intelligence Program, including $4.8 billion for the CIA. After the Marshall Plan was approved, appropriating $13.7 billion over five years, 5% of those funds or $685 million were made available to the CIA.",Who disclosed the CIA's budget for 2005?
A total of 24 million votes were cast during the final week of the competition.,factual,"Ruben Studdard emerged as the winner, beating Clay Aiken by a small margin. Out of a total of 24 million votes, Studdard finished just 134,000 votes ahead of Aiken. This slim margin of victory was controversial due to the large number of calls that failed to get through. In an interview prior to season five, executive producer Nigel Lythgoe indicated that Aiken had led the fan voting from the wildcard week onward until the finale.",How many votes were cast during the final week?
The pointed arch from Islamic architecture influenced European architects.,factual,"Islamic architecture began in the 7th century CE, incorporating architectural forms from the ancient Middle East and Byzantium, but also developing features to suit the religious and social needs of the society. Examples can be found throughout the Middle East, North Africa, Spain and the Indian Sub-continent. The widespread application of the pointed arch was to influence European architecture of the Medieval period.",What kind of arch design from Islamic architecture affected European architects?
"Norway has been ranked as the highest-ranked country the most times, with a total of twelve instances.",factual,"The list below displays the top-ranked country from each year of the Human Development Index. Norway has been ranked the highest twelve times, Canada eight times, followed by Japan which has been ranked highest three times. Iceland has been ranked highest twice.",Which country has been ranked highest the most number of times?
Pure Land Buddhism is the form of Buddhism that has declined to the point where few are capable of following the path.,factual,"The idea of the decline and gradual disappearance of the teaching has been influential in East Asian Buddhism. Pure Land Buddhism holds that it has declined to the point where few are capable of following the path, so it may be best to rely on the power of Amitābha.",What form of Buddhism has declined to the point where few are capable of following the path?
Sega first allowed third-party publishing in the late summer of 1988.,factual,"Nintendo was not as restrictive as Sega, which did not permit third-party publishing until Mediagenic in late summer 1988. Nintendo's intention, however, was to reserve a large part of NES game revenue for itself. Nintendo required that they be the sole manufacturer of all cartridges, and that the publisher had to pay in full before the cartridges for that game be produced. Cartridges could not be returned to Nintendo, so publishers assumed all the risk. As a result, some publishers lost more money due to distress sales of remaining inventory at the end of the NES era than they ever earned in profits from sales of the games. Because Nintendo controlled the production of all cartridges, it was able to enforce strict rules on its third-party developers, which were required to sign a contract by Nintendo that would obligate these parties to develop exclusively for the system, order at least 10,000 cartridges, and only make five games per year. A 1988 shortage of DRAM and ROM chips also reportedly caused Nintendo to only permit 25% of publishers' requests for cartridges. This was an average figure, with some publishers receiving much higher amounts and others almost none. GameSpy noted that Nintendo's ""iron-clad terms"" made the company many enemies during the 1980s. Some developers tried to circumvent the five game limit by creating additional company brands like Konami's Ultra Games label; others tried circumventing the 10NES chip.",When did Sega finally permit third-party publishing?
New York is home to two professional baseball teams.,factual,"New York has been described as the ""Capital of Baseball"". There have been 35 Major League Baseball World Series and 73 pennants won by New York teams. It is one of only five metro areas (Los Angeles, Chicago, Baltimore–Washington, and the San Francisco Bay Area being the others) to have two baseball teams. Additionally, there have been 14 World Series in which two New York City teams played each other, known as a Subway Series and occurring most recently in 2000. No other metropolitan area has had this happen more than once (Chicago in 1906, St. Louis in 1944, and the San Francisco Bay Area in 1989). The city's two current Major League Baseball teams are the New York Mets, who play at Citi Field in Queens, and the New York Yankees, who play at Yankee Stadium in the Bronx. who compete in six games of interleague play every regular season that has also come to be called the Subway Series. The Yankees have won a record 27 championships, while the Mets have won the World Series twice. The city also was once home to the Brooklyn Dodgers (now the Los Angeles Dodgers), who won the World Series once, and the New York Giants (now the San Francisco Giants), who won the World Series five times. Both teams moved to California in 1958. There are also two Minor League Baseball teams in the city, the Brooklyn Cyclones and Staten Island Yankees.",How many professional baseball teams are located in New York?
The Khmer Empire was heavily influenced by Indian Hinduism.,factual,"The arts of Southeast Asia have affinity with the arts of other areas. Dance in much of Southeast Asia includes movement of the hands as well as the feet, to express the dance's emotion and meaning of the story that the ballerina is going to tell the audience. Most of Southeast Asia introduced dance into their court; in particular, Cambodian royal ballet represented them in the early 7th century before the Khmer Empire, which was highly influenced by Indian Hinduism. Apsara Dance, famous for strong hand and feet movement, is a great example of Hindu symbolic dance.",The Khmer Empire was influenced by what?
"In 1986, Austria honored Popper with the Grand Decoration of Honour in Gold for his services to the Republic of Austria.",factual,"Popper won many awards and honours in his field, including the Lippincott Award of the American Political Science Association, the Sonning Prize, the Otto Hahn Peace Medal of the United Nations Association of Germany in Berlin and fellowships in the Royal Society, British Academy, London School of Economics, King's College London, Darwin College, Cambridge, and Charles University, Prague. Austria awarded him the Grand Decoration of Honour in Gold for Services to the Republic of Austria in 1986, and the Federal Republic of Germany its Grand Cross with Star and Sash of the Order of Merit, and the peace class of the Order Pour le Mérite. He received the Humanist Laureate Award from the International Academy of Humanism. He was knighted by Queen Elizabeth II in 1965, and was elected a Fellow of the Royal Society in 1976. He was invested with the Insignia of a Companion of Honour in 1982.",What recognition did Austria bestow on Popper in 1986?
François Darlan was the initial High Commissioner of North Africa.,factual,"French cooperation was deemed necessary to the campaign, and Eisenhower encountered a ""preposterous situation"" with the multiple rival factions in France. His primary objective was to move forces successfully into Tunisia, and intending to facilitate that objective, he gave his support to François Darlan as High Commissioner in North Africa, despite Darlan's previous high offices of state in Vichy France and his continued role as commander-in-chief of the French armed forces. The Allied leaders were ""thunderstruck"" by this from a political standpoint, though none of them had offered Eisenhower guidance with the problem in the course of planning the operation. Eisenhower was severely criticized for the move. Darlan was assassinated on December 24 by Fernand Bonnier de La Chapelle. Eisenhower did not take action to prevent the arrest and extrajudicial execution of Bonnier de La Chapelle by associates of Darlan acting without authority from either Vichy or the Allies, considering it a criminal rather than a military matter. Eisenhower later appointed General Henri Giraud as High Commissioner, who had been installed by the Allies as Darlan's commander-in-chief, and who had refused to postpone the execution.",Who initially served as High Commissioner of North Africa?
The radio programming genre that is often confused with the Hot Adult Contemporary Tracks chart is known as hot AC.,factual,"In 1996, Billboard created a new chart called Adult Top 40, which reflects programming on radio stations that exists somewhere between ""adult contemporary"" music and ""pop"" music. Although they are sometimes mistaken for each other, the Adult Contemporary chart and the Adult Top 40 chart are separate charts, and songs reaching one chart might not reach the other. In addition, hot AC is another subgenre of radio programming that is distinct from the Hot Adult Contemporary Tracks chart as it exists today, despite the apparent similarity in name.",What radio programming genre is sometimes confused with the Hot Adult Contemporary Tracks chart?
"The poem ""Charge of the Light Brigade"" exemplifies how the war came to symbolize various failures and mismanagement.",factual,"As the memory of the ""Charge of the Light Brigade"" demonstrates, the war became an iconic symbol of logistical, medical and tactical failures and mismanagement. Public opinion in the UK was outraged at the logistical and command failures of the war; the newspapers demanded drastic reforms, and parliamentary investigations demonstrated the multiple failures of the Army. However, the reform campaign was not well organized, and the traditional aristocratic leadership of the Army pulled itself together, and blocked all serious reforms. No one was punished. The outbreak of the Indian Revolution in 1857 shifted attention to the heroic defense of British interest by the army, and further talk of reform went nowhere. The demand for professionalization was, however, achieved by Florence Nightingale, who gained worldwide attention for pioneering and publicizing modern nursing while treating the wounded.:469–71",What poem demonstrates that the war became a symbol of failures?
The mouth of the Qiantang River forms Hangzhou Bay.,factual,"The province's name derives from the Zhe River (浙江, Zhè Jiāng), the former name of the Qiantang River which flows past Hangzhou and whose mouth forms Hangzhou Bay. It is usually glossed as meaning ""Crooked"" or ""Bent River"", from the meaning of Chinese 折, but is more likely a phono-semantic compound formed from adding 氵 (the ""water"" radical used for river names) to phonetic 折 (pinyin zhé but reconstructed Old Chinese *tet), preserving a proto-Wu name of the local Yue, similar to Yuhang, Kuaiji, and Jiang.",What does the mouth of the Qiantang River form?
The highest ranking member of the Armed Forces is the Chief of the Defence Staff (CDS).,factual,"The Armed Forces' 115,349 personnel are divided into a hierarchy of numerous ranks of officers and non-commissioned members. The governor general appoints, on the advice of the prime minister, the Chief of the Defence Staff (CDS) as the highest ranking commissioned officer in the Armed Forces and who, as head of the Armed Forces Council, is in command of the Canadian Forces. The Armed Forces Council generally operates from National Defence Headquarters (NDHQ) in Ottawa, Ontario. On the Armed Forces Council sit the heads of Canadian Joint Operations Command and Canadian Special Operations Forces Command, the Vice Chief of the Defence Staff, and the heads of the Royal Canadian Navy, the Canadian Army, the Royal Canadian Air Force and other key Level 1 organizations. The sovereign and most other members of the Canadian Royal Family also act as colonels-in-chief, honorary air commodores, air commodores-in-chief, admirals, and captains-general of Canadian Forces units, though these positions are ceremonial.",Who is the highest ranking member of the Armed Forces?
The new concept that has largely replaced Simpson's much-debated theoretical systematization is cladistics.,factual,"George Gaylord Simpson's ""Principles of Classification and a Classification of Mammals"" (AMNH Bulletin v. 85, 1945) was the original source for the taxonomy listed here. Simpson laid out a systematics of mammal origins and relationships that was universally taught until the end of the 20th century. Since Simpson's classification, the paleontological record has been recalibrated, and the intervening years have seen much debate and progress concerning the theoretical underpinnings of systematization itself, partly through the new concept of cladistics. Though field work gradually made Simpson's classification outdated, it remained the closest thing to an official classification of mammals.",Which new concept has greatly taken over Simpsons much debated theoretical systematization?
"In the first penalty shootout, Rotherham United defeated Scunthorpe United.",factual,"Until the 1990s further replays would be played until one team was victorious. Some ties took as many as six matches to settle; in their 1975 campaign, Fulham played a total of 12 games over six rounds, which remains the most games played by a team to reach a final. Replays were traditionally played three or four days after the original game, but from 1991–92 they were staged at least 10 days later on police advice. This led to penalty shoot-outs being introduced, the first of which came on 26 November 1991 when Rotherham United eliminated Scunthorpe United.",What clubs were playing during the first penalty?
"The Age of Discovery occurred at the end of the Middle Ages, along with the Renaissance.",factual,"In European history, the Middle Ages or medieval period lasted from the 5th to the 15th century. It began with the collapse of the Western Roman Empire and merged into the Renaissance and the Age of Discovery. The Middle Ages is the middle period of the three traditional divisions of Western history: Antiquity, Medieval period, and Modern period. The Medieval period is itself subdivided into the Early, the High, and the Late Middle Ages.","Along with the Renaissance, what era occurred at the end of the Middle Ages?"
An animal is required to transport pollen in the reproduction of most flowering plants.,factual,"Pollination is the process by which pollen is transferred in the reproduction of plants, thereby enabling fertilisation and sexual reproduction. Most flowering plants require an animal to do the transportation. While other animals are included as pollinators, the majority of pollination is done by insects. Because insects usually receive benefit for the pollination in the form of energy rich nectar it is a grand example of mutualism. The various flower traits (and combinations thereof) that differentially attract one type of pollinator or another are known as pollination syndromes. These arose through complex plant-animal adaptations. Pollinators find flowers through bright colorations, including ultraviolet, and attractant pheromones. The study of pollination by insects is known as anthecology.",What is required to transport pollen?
Beyoncé re-released her album B'Day in Spanish.,factual,"Beyoncé's music is generally R&B, but she also incorporates pop, soul and funk into her songs. 4 demonstrated Beyoncé's exploration of 90s-style R&B, as well as further use of soul and hip hop than compared to previous releases. While she almost exclusively releases English songs, Beyoncé recorded several Spanish songs for Irreemplazable (re-recordings of songs from B'Day for a Spanish-language audience), and the re-release of B'Day. To record these, Beyoncé was coached phonetically by American record producer Rudy Perez.",What album did she re-release in Spanish?
Parli is a form used in the Northern dialect of the language.,factual,"In verbs, 1st person present indicative desinence is -e (∅ in verbs of the 2nd and 3rd conjugation), or -o.
E.g. parle, tem, sent (Valencian); parlo, temo, sento (Northwestern). In verbs, 1st person present indicative desinence is -o, -i or ∅ in all conjugations.
E.g. parlo (Central), parl (Balearic), parli (Northern), ('I speak').",What language form is parli?
Guinea-Bissau was once part of the Mali Empire.,factual,"Guinea-Bissau was once part of the kingdom of Gabu, as well as part of the Mali Empire. Parts of this kingdom persisted until the 18th century, while a few others were under some rule by the Portuguese Empire since the 16th century. In the 19th century, it was colonized as Portuguese Guinea. Upon independence, declared in 1973 and recognised in 1974, the name of its capital, Bissau, was added to the country's name to prevent confusion with Guinea (formerly French Guinea). Guinea-Bissau has a history of political instability since independence, and no elected president has successfully served a full five-year term.",What empire was Guinea-Bissau once part of?
The six questions assess the individual's sexual attraction.,factual,"The SASO consists of 12 questions. Six of these questions assess sexual attraction, four assess sexual behavior, and two assess sexual orientation identity. For each question on the scale that measures homosexuality there is a corresponding question that measures heterosexuality giving six matching pairs of questions. Taken all together, the six pairs of questions and responses provide a profile of an individual's sexual orientation. However, results can be further simplified into four summaries that look specifically at responses that correspond to either homosexuality, heterosexuality, bisexuality or asexuality.",What do six of the questions asses?
"The Nehemiah Homes consist of approximately 1,000 units.",factual,"Since the late 1980s, significant development has occurred in the Bronx, first stimulated by the city's ""Ten-Year Housing Plan"" and community members working to rebuild the social, economic and environmental infrastructure by creating affordable housing. Groups affiliated with churches in the South Bronx erected the Nehemiah Homes with about 1,000 units. The grass roots organization Nos Quedamos' endeavor known as Melrose Commons began to rebuild areas in the South Bronx. The IRT White Plains Road Line (2 5 trains) began to show an increase in riders. Chains such as Marshalls, Staples, and Target opened stores in the Bronx. More bank branches opened in the Bronx as a whole (rising from 106 in 1997 to 149 in 2007), although not primarily in poor or minority neighborhoods, while the Bronx still has fewer branches per person than other boroughs.",How many units are in the Nehemiah Homes?
"In addition to dogs, cats are also responsible for over 86,000 falls every year in the United States.",factual,"In the United States, cats and dogs are a factor in more than 86,000 falls each year. It has been estimated around 2% of dog-related injuries treated in UK hospitals are domestic accidents. The same study found that while dog involvement in road traffic accidents was difficult to quantify, dog-associated road accidents involving injury more commonly involved two-wheeled vehicles.","In addition to dogs, what other animal is responsible for over 86,000 falls every year?"
The Famicom was planned to be released under the name Nintendo Advanced Video Gaming System as part of the agreement with Atari.,factual,"Encouraged by these successes, Nintendo soon turned its attention to the North American market. Nintendo entered into negotiations with Atari to release the Famicom under Atari’s name as the name Nintendo Advanced Video Gaming System. The deal was set to be finalized and signed at the Summer Consumer Electronics Show in June 1983. However, Atari discovered at that show that its competitor Coleco was illegally demonstrating its Coleco Adam computer with Nintendo's Donkey Kong game. This violation of Atari's exclusive license with Nintendo to publish the game for its own computer systems delayed the implementation of Nintendo's game console marketing contract with Atari. Atari's CEO Ray Kassar was fired the next month, so the deal went nowhere, and Nintendo decided to market its system on its own.g[›]",Nintendo agreed with Atari to release the Famicom under what name?
The government of Tajikistan is focused on attracting investments for hydropower projects.,factual,"Tajikistan's rivers, such as the Vakhsh and the Panj, have great hydropower potential, and the government has focused on attracting investment for projects for internal use and electricity exports. Tajikistan is home to the Nurek Dam, the highest dam in the world. Lately, Russia's RAO UES energy giant has been working on the Sangtuda-1 hydroelectric power station (670 MW capacity) commenced operations on 18 January 2008. Other projects at the development stage include Sangtuda-2 by Iran, Zerafshan by the Chinese company SinoHydro, and the Rogun power plant that, at a projected height of 335 metres (1,099 ft), would supersede the Nurek Dam as highest in the world if it is brought to completion. A planned project, CASA 1000, will transmit 1000 MW of surplus electricity from Tajikistan to Pakistan with power transit through Afghanistan. The total length of transmission line is 750 km while the project is planned to be on Public-Private Partnership basis with the support of WB, IFC, ADB and IDB. The project cost is estimated to be around US$865 million. Other energy resources include sizable coal deposits and smaller reserves of natural gas and petroleum.",Who is trying to attract investments for hydropower in Tajikistan?
Hindu scriptures describe hunting as an acceptable occupation.,factual,"Hindu scriptures describe hunting as an acceptable occupation, as well as a sport of the kingly. Even figures considered godly are described to have engaged in hunting. One of the names of the god Shiva is Mrigavyadha, which translates as ""the deer hunter"" (mriga means deer; vyadha means hunter). The word Mriga, in many Indian languages including Malayalam, not only stands for deer, but for all animals and animal instincts (Mriga Thrishna). Shiva, as Mrigavyadha, is the one who destroys the animal instincts in human beings. In the epic Ramayana, Dasharatha, the father of Rama, is said to have the ability to hunt in the dark. During one of his hunting expeditions, he accidentally killed Shravana, mistaking him for game. During Rama's exile in the forest, Ravana kidnapped his wife, Sita, from their hut, while Rama was asked by Sita to capture a golden deer, and his brother Lakshman went after him. According to the Mahabharat, Pandu, the father of the Pandavas, accidentally killed the sage Kindama and his wife with an arrow, mistaking them for a deer. Krishna is said to have died after being accidentally wounded by an arrow of a hunter.",What kind of occupation do Hindu scriptures describe hunting as being?
Sixty helicopters were provided by the PLAAF.,factual,"By May 15, Premier Wen Jiabao ordered the deployment of an additional 90 helicopters, of which 60 were to be provided by the PLAAF, and 30 were to be provided by the civil aviation industry, bringing the total of number of aircraft deployed in relief operations by the air force, army, and civil aviation to over 150, resulting in the largest non-combat airlifting operation in People's Liberation Army history.",How many helicopters came from the PLAAF?
The main campus of Yale University is located in downtown New Haven.,factual,"Yale is organized into fourteen constituent schools: the original undergraduate college, the Yale Graduate School of Arts and Sciences, and twelve professional schools. While the university is governed by the Yale Corporation, each school's faculty oversees its curriculum and degree programs. In addition to a central campus in downtown New Haven, the University owns athletic facilities in western New Haven, including the Yale Bowl, a campus in West Haven, Connecticut, and forest and nature preserves throughout New England. The university's assets include an endowment valued at $25.6 billion as of September 2015, the second largest of any educational institution.The Yale University Library, serving all constituent schools, holds more than 15 million volumes and is the third-largest academic library in the United States.",Where is the main Yale campus?
The traditional Samoan dance performed by synchronized rows of dancers is called the sasa.,factual,"The Samoan word for dance is siva with unique gentle movements of the body in time to music and which tells a story, although the Samoan male dances can be more physical and snappy. The sasa is also a traditional dance where rows of dancers perform rapid synchronised movements in time to the rhythm of wooden drums (pate) or rolled mats. Another dance performed by males is called the fa'ataupati or the slap dance, creating rhythmic sounds by slapping different parts of the body. This is believed to have been derived from slapping insects on the body.",What's the name of the traditional Samoan dance performed by synchronized rows of dancers?
"Yes, the FBI frequently investigated Martin Luther King Jr.",factual,"The FBI frequently investigated Martin Luther King, Jr. In the mid-1960s, King began publicly criticizing the Bureau for giving insufficient attention to the use of terrorism by white supremacists. Hoover responded by publicly calling King the most ""notorious liar"" in the United States. In his 1991 memoir, Washington Post journalist Carl Rowan asserted that the FBI had sent at least one anonymous letter to King encouraging him to commit suicide. Historian Taylor Branch documents an anonymous November 1964 ""suicide package"" sent by the Bureau that combined a letter to the civil rights leader telling him ""You are done. There is only one way out for you..."" with audio recordings of King's sexual indiscretions.",Did the FBI investigate Martin Luther King Jr.?
"The largest populations of Puerto Ricans on the mainland U.S. are found in cities such as New York City, Orlando, and Philadelphia, primarily in the Eastern United States.",factual,"At over 5 million, Puerto Ricans are easily the 2nd largest Hispanic group. Of all major Hispanic groups, Puerto Ricans are the least likely to be proficient in Spanish, but millions of Puerto Rican Americans living in the U.S. mainland nonetheless are fluent in Spanish. Puerto Ricans are natural-born U.S. citizens, and many Puerto Ricans have migrated to New York City, Orlando, Philadelphia, and other areas of the Eastern United States, increasing the Spanish-speaking populations and in some areas being the majority of the Hispanophone population, especially in Central Florida. In Hawaii, where Puerto Rican farm laborers and Mexican ranchers have settled since the late 19th century, 7.0 per cent of the islands' people are either Hispanic or Hispanophone or both.",Where are the biggest population of Puerto Ricans on the mainland?
The City Council consists of 51 council members.,factual,"The Mayor and council members are elected to four-year terms. The City Council is a unicameral body consisting of 51 council members whose districts are defined by geographic population boundaries. Each term for the mayor and council members lasts four years and has a three consecutive-term limit, but can resume after a four-year break. The New York City Administrative Code, the New York City Rules, and the City Record are the code of local laws, compilation of regulations, and official journal, respectively.",How many councilors sit on the City Council?
"The film Stella, released in 1955, was directed by Cacoyannis.",factual,"The 1950s and early 1960s are considered by many to be a golden age of Greek cinema. Directors and actors of this era were recognized as important historical figures in Greece and some gained international acclaim: Irene Papas, Melina Mercouri, Mihalis Kakogiannis, Alekos Sakellarios, Nikos Tsiforos, Iakovos Kambanelis, Katina Paxinou, Nikos Koundouros, Ellie Lambeti, and others. More than sixty films per year were made, with the majority having film noir elements. Notable films were Η κάλπικη λίρα (1955 directed by Giorgos Tzavellas), Πικρό Ψωμί (1951, directed by Grigoris Grigoriou), O Drakos (1956 directed by Nikos Koundouros), Stella (1955 directed by Cacoyannis and written by Kampanellis).",Who directed the movie Stella in 1955? 
"While John was at Fontevrault, he was assigned a magister, who was responsible for his early education and managing the servants of his immediate household.",factual,"Shortly after his birth, John was passed from Eleanor into the care of a wet nurse, a traditional practice for medieval noble families. Eleanor then left for Poitiers, the capital of Aquitaine, and sent John and his sister Joan north to Fontevrault Abbey. This may have been done with the aim of steering her youngest son, with no obvious inheritance, towards a future ecclesiastical career. Eleanor spent the next few years conspiring against her husband Henry and neither parent played a part in John's very early life. John was probably, like his brothers, assigned a magister whilst he was at Fontevrault, a teacher charged with his early education and with managing the servants of his immediate household; John was later taught by Ranulph Glanville, a leading English administrator. John spent some time as a member of the household of his eldest living brother Henry the Young King, where he probably received instruction in hunting and military skills.",John was assigned what whilst he was at Fontevrault?
Armenia supported Christianity as its official religion.,factual,"Armenia is a unitary, multi-party, democratic nation-state with an ancient cultural heritage. Urartu was established in 860 BC and by the 6th century BC it was replaced by the Satrapy of Armenia. In the 1st century BC the Kingdom of Armenia reached its height under Tigranes the Great. Armenia became the first state in the world to adopt Christianity as its official religion. In between the late 3rd century to early years of the 4th century, the state became the first Christian nation. The official date of state adoption of Christianity is 301 AD. The ancient Armenian kingdom was split between the Byzantine and Sasanian Empires around the early 5th century.",What religion did Armenia support?
