answer,type,context,question,model_context
Universities and research institutions are typically responsible for the early stages of drug discovery.,factual,,Who is usually responsible for early stages of drug discovery?,"Early-stage drug discovery is typically a collaborative effort led by academic researchers and biotechnology or pharmaceutical companies, often supported by specialized third-party organizations."
Kievan Rus' was formed around 880 AD.,factual,,When was Kievan Rus' formed?,Kievan Rus' was formed in 882 AD when the Varangian (Viking) prince Oleg the Prophet conquered the city of Kyiv and established it as his capital.
The king's excommunication resulted from a dispute with Pope Innocent III.,factual,,What lead to the king's excommunication?,"While history features several high-profile excommunications of monarchs, the most famous cases involve King Henry VIII of England and King Henry IV of the Holy Roman Empire."
"After Russell's brief leadership of the ministry, it was Derby who returned to power.",factual,,Who returned to power after Russels brief rule of the ministry?,"The query likely refers to the ""Ministry of All the Talents"" led by Lord Grenville, which had a brief rule from 1806 to 1807."
The ruling elders are elected by the congregation.,factual,,Who elects the ruling elders?,"In Presbyterian and Reformed church traditions, ruling elders are elected by the congregation they serve."
"Avignon served as the seat of the papacy for the majority of the 14th century, from 1309 to 1376.",factual,,What city was the seat of the papacy for most of the 14th century?,"For most of the 14th century, the seat of the papacy was Avignon, located in modern-day France."
The Armenian government granted Russia permission to establish a military base in Gyumri.,factual,,Who gave Russia permission to have a military base in Gyumri?,"Russia has a military base in Gyumri, Armenia, with the permission and agreement of the Armenian government, formalized through a bilateral treaty signed in 1995 and extended in 2010."
The desired practice of connecting religion and schools was to establish Islamic orthodoxy.,factual,,What practice was desired through connecting religion and schools?,"Historically, the primary practice desired through connecting religion and schools was to promote social stability and moral development by instilling specific values in younger generations."
Victorian Aboriginal groups were largely dispossessed of their land between the years 1836 and 1842.,factual,,Between what year's did Victorian aboriginal groups dispossessed?,"Aboriginal groups in Victoria were systematically dispossessed of their lands and rights primarily between 1835 and 1884, though the legacy of these actions continued through subsequent government policies."
Feynman developed the parton model to complement the quark model.,factual,,What model did Feynman produce to complement the quark model?,Richard Feynman produced the Parton Model in 1969 to complement and physically ground the existing quark model.
"The tolerance limit for the implosion ""edge effect"" was that it could not deviate more than 5% from perfect spherical symmetry.",factual,,"What was the tolerance limit for implosion ""edge effect""?","In the context of the Manhattan Project's development of the implosion-type nuclear weapon (the ""Fat Man"" design), the tolerance limit for the ""edge effect""—which referred to irregularities or jetting caused by the interface between explosive lenses—was exceptionally stringent to ensure a symmetrical collapse of the plutonium core."
The Romans emerged victorious at the Battle of the Aegates Islands.,factual,,Who claimed victory at the Battle of Aegates Islands?,"The Roman Republic claimed a decisive victory at the Battle of the Aegates Islands on March 10, 241 BC."
"After the Spanish conquest, it was primarily the peasants from the Bolivian highlands who maintained their indigenous language, culture, and traditional ways of life.",factual,,Who retained indigenous language and culture after the Spanish conquest?,"Many indigenous groups successfully retained aspects of their language and culture after the Spanish conquest through strategies like geographic isolation, armed resistance, and subtle forms of cultural syncretism."
The temperature at which the resin softens and expands is known as the glass transition temperature.,factual,,What's the temperature at which resin softens and expands called?,The temperature at which resin softens and begins to expand is primarily known as the Glass Transition Temperature (Tg).
Eisenhower was granted authority over the British Eighth Army in February 1943.,factual,,When did Eisenhower receive authority over the British Eighth Army?,"Dwight D. Eisenhower received authority over the British Eighth Army on February 10, 1943."
Lutheranism originated in Germany.,factual,,Where did Lutheranism begin?,"Lutheranism began in the early 16th century within the Holy Roman Empire, specifically in Germany."
"Eighty-five percent of COINTELPRO resources were directed towards groups and individuals that the FBI considered ""subversive"".",factual,,What percentage of COINTELPRO resources were targeted at FBI labeled subversive groups?,"Approximately 85% of all COINTELPRO resources were dedicated to targeting groups and individuals the FBI classified as ""subversive""."
The southern boundary of the Catalina Foothills area is defined by River Road.,factual,,What is the southern edge of the Catalina Foothills area?,"The southern edge of the Catalina Foothills area is generally considered to be River Road, which runs east-west."
Schwarzenegger's jet was forced to make an emergency landing at Van Nuys Airport in 2009.,factual,,At what airport was Schwarzenegger's jet forced to make an emergency landing in 2009?,"In 2009, Arnold Schwarzenegger's jet was forced to make an emergency landing at Van Nuys Airport in Los Angeles."
"Flexibility can be at odds with the rule of law, even when it may be preferable in certain situations.",factual,,What fights against the rule of law?,Threats to the rule of law typically involve efforts to place personal or political power above established legal frameworks. Key factors that fight against the rule of law include:
Office buildings were evacuated in Shanghai's financial district.,factual,,Where were office buildings evacuated?,"In January 2026, several office and municipal buildings have been evacuated due to emergencies ranging from fires to infrastructure failures:"
"After the Second Punic War, the Romans sought to re-establish their influence in the Balkans.",factual,,In what region did the Romans aim to re-bolster the influence after the Second Punic war?,"After the Second Punic War (218–201 BC), Rome shifted its focus to re-bolstering and expanding its influence primarily in the Eastern Mediterranean, while simultaneously consolidating its new hold on the West."
"In polygynous species with significant sexual dimorphism, males typically return to breeding sites earlier than females, a phenomenon known as protandry.",factual,,Why do males in polygynous species return before the females?,"In polygynous species, the phenomenon of males arriving at breeding grounds before females—known as protandry—is driven primarily by the high stakes of intrasexual competition."
The American bombing led to a shortage of food for the Marshall Islanders.,factual,,"Along with injuries, what suffering did the American bombing cause to the Marshall Islanders?","The 67 nuclear tests conducted by the U.S. between 1946 and 1958 inflicted profound suffering on Marshall Islanders that extended far beyond physical injuries, fundamentally altering their culture, health, and way of life."
"The average temperature of Neptune's south pole is approximately 73 K, which is equivalent to -200 °C.",factual,,What is the average temperature of Neptune's south pole? ,"Neptune's south pole is significantly warmer than the rest of the planet, with temperatures in the upper troposphere approximately 10°C (18°F) higher than the global average. Given that Neptune's average atmospheric temperature is roughly -200°C (-328°F), the south pole's temperature is approximately -190°C (-310°F)."
The schoolboys stopped Maclean by hitting him with their umbrellas.,factual,,How did the schoolboys stop Maclean?,"In 1882, a group of Eton schoolboys famously stopped Roderick Maclean during his attempt to assassinate Queen Victoria."
The name of the tower that was the first purpose-built artillery fortification in England is God's House Tower.,factual,,What's the name of the wall tower that was the first of its kind in England built for artillery purposes?,"The name of the wall tower that was the first of its kind built specifically for artillery purposes in England is the Cow Tower, located in Norwich, built between 1398 and 1399. Another significant early example is the gun tower at Dartmouth Castle, considered the oldest known purpose-built coastal artillery fort in Britain, completed around 1493."
The process that can increase solar energy potential in areas further from the Earth's equator is called photovoltaics.,factual,,What is the process called that can increase solar energy in areas further away from the earth's equator?,"In regions further from the equator, the natural process of seasonal variation leads to a significant decrease in solar intensity because the Earth's curvature causes sunlight to hit at a shallow angle, spreading energy over a larger area."
The Presbyterian church was established in England in the year 1592.,factual,,In what year was the Presbyterianism church formed in England?,"Presbyterianism in England developed through several key stages rather than a single founding moment. Its origins as a distinct movement date back to the late 16th century, while its formal establishment as a unified denomination occurred much later."
"The pupal stage is the developmental phase that distinguishes 4-stage metamorphosis from 3-stage metamorphosis, as it is absent in the latter.",factual,,"What stage of development differentiates a 4-stage metamorphosis from a 3-stage metamorphosis, notably absent in the latter?",The stage that differentiates a 4-stage metamorphosis (complete) from a 3-stage metamorphosis (incomplete) is the pupa stage.
Human psychology is part of the interdisciplinary field known as cognitive science.,factual,,What is the group that human psychology belongs to?,"Human psychology is primarily classified as a social science, though it is an interdisciplinary field that spans multiple domains."
The subtype of clitellates that includes earthworms is called oligochaetes.,factual,,What subtype of clitellates contains earthworms?,Earthworms belong to the subclass Oligochaeta within the class Clitellata.
"The primary seminary of the Congregation of the Holy Cross is Moreau Seminary, which is located on the university campus across St. Joseph lake from the Main Building.",factual,,What is the primary seminary of the Congregation of the Holy Cross?,The primary seminary for the Congregation of Holy Cross (specifically the United States Province) is Moreau Seminary.
"During the summer, temperatures in New Haven exceed 90 °F (32 °C) on 7 to 8 days each year.",factual,,Does summertime gets weather hotter than 90 degrees?,"Yes, summertime temperatures frequently exceed 90°F in many regions, often reaching much higher levels due to direct solar energy and humidity."
"In the later years of the Eastern Roman Empire, regions such as Ionia and Constantinople experienced a revival of Greek traditions and appreciations in language, philosophy, and literature, based on classical models of thought and scholarship.",factual,,When did most of the Eastward sector of the Roman expanse choose to have a rebirth of Greek traditions and appreciations ?,"While the Eastern Roman (Byzantine) Empire was culturally influenced by Greece from its inception, its formal and intensified ""rebirth"" of Greek traditions occurred during two specific periods:"
No contestants from this season achieved platinum album status in the U.S.,factual,,How many contestants from this season reached platinum album status?,"For the most recent completed season of American Idol (Season 22, 2024), zero contestants have reached RIAA Platinum album status."
The 1998 Good Friday Agreement led to the establishment of policies that are common across the entire island of Ireland.,factual,,The 1998 Good Friday Agreement resulted in what arrangement?,The 1998 Good Friday Agreement (also known as the Belfast Agreement) established a complex constitutional arrangement designed to end decades of sectarian violence in Northern Ireland known as the Troubles.
Queen Victoria's coronation was held on 28th June 1838 at Westminster Abbey.,factual,,When did Victoria's coronation take place at Westminster Abbey?,"Queen Victoria’s coronation took place at Westminster Abbey on Thursday, June 28, 1838."
The remaining 20% of our daily water requirement is obtained from the food we consume.,factual,,Where do humans get the 20% of water that does not come from the beverages we drink?,"It is a common (and helpful) rule of thumb that about 80% of our water intake comes from beverages, while the remaining 20% comes from the foods we eat."
Eastern Lombard is part of the Gallo-Italic language family.,factual,,What language family does Eastern Lombard belong to?,"Eastern Lombard belongs to the Indo-European language family. More specifically, it is a branch of the Romance languages, which are derived from Vulgar Latin."
The current President of Portugal is Aníbal Cavaco Silva.,factual,,Who is the current president of Portugal?,"As of January 27, 2026, the current President of Portugal is Marcelo Rebelo de Sousa."
"In English, the Latin term ""traducere"" translates to ""to lead across"" or ""to bring across.""",factual,,What does Latin's traducere mean in English?,"In Latin, traducere (a compound of trans ""across"" and ducere ""to lead"") has several meanings depending on the context:"
Resonant antennas are typically used for TV viewing.,factual,,What antenna setup type is generally used for TV viewing?,TV antenna setups generally fall into two primary categories based on location—indoor and outdoor—and two based on signal direction—directional and multi-directional.
"The Heian period was named after the capital city of Heian-kyō, which is present-day Kyoto.",factual,,The Heian period is named after what city?,"The Heian period (794–1185) is named after Heian-kyō, which is known today as Kyoto."
"In Hinduism, the conception of God varies widely, ranging from monotheistic, polytheistic, to even atheistic beliefs depending on the region, sect, and caste.",factual,,How many gods do the Hindu's have?,"Depending on who you ask, the answer ranges from one to hundreds of millions. Hinduism's view of the divine is complex and varies by tradition, but it can be broken down into three main perspectives:"
"In 1780, it was the Overmountain Men who departed from Fort Watauga, traversed the Appalachian Mountains, and launched an attack on the British Army in South Carolina.",factual,,"Who left Fort Watuaga, crossed the Appalachians, and attacked the British army in South Carolina in 1780?","In 1780, a group of American frontiersmen known as the Overmountain Men left the vicinity of Fort Watauga (at Sycamore Shoals in present-day Tennessee) to cross the Appalachian Mountains and attack the British forces."
Bern invaded Aargau in the year 1415.,factual,,What year did Bern invade Aargau?,Bern invaded and conquered Aargau in 1415.
Valencia was the most populous city in the Crown of Aragon during the 15th century.,factual,,Of what area was Valencia the largest city?,"Historically and geographically, Valencia has been the largest city in several specific contexts:"
The Southdale Center was opened in the year 1956.,factual,,When was the Southdale Center opened? ,"The Southdale Center was opened on October 8, 1956. Located in Edina, Minnesota, it is recognized as the first fully enclosed, climate-controlled shopping mall in the United States."
"The South East Asia Collective Defence Treaty, or SEATO, serves as the counterpart to NATO in the South East Asian region.",factual,,Which group is a counterpart to NATO?,"Depending on whether you are looking for a historical or modern equivalent, there are two primary counterparts to NATO (North Atlantic Treaty Organization):"
The Tomb of the Julii is located near the crypt beneath St. Peter's Basilica.,factual,,In which basilica is the Tomb of Julii?,"The Tomb of the Julii (also known as Mausoleum ""M"") is located in the Vatican Necropolis, a series of ancient Roman burial chambers situated approximately 5 to 12 meters beneath St. Peter's Basilica in Vatican City."
Richard J. Smith serves as the Dean of the Graduate School of Arts & Sciences at Washington University.,factual,,What position does Richard J. Smith hold at Washington University?,Richard J. Smith is currently Professor Emeritus of Anthropology at Washington University in St. Louis. He officially retired in 2023 after nearly 40 years of service to the university.
Oak Tree Country Club is located in Oklahoma City.,factual,,Where is Oak Tree Country Club?,"Oak Tree Country Club is located at 700 Country Club Drive, Edmond, OK 73025. It is a private club situated just outside Oklahoma City, and it features two 18-hole championship golf courses."
Hinduism is the most widely practiced religion in New Delhi.,factual,,What is the most commonly practiced religion in New Delhi?,"The most commonly practiced religion in New Delhi is Hinduism, with Hindus making up over 80% of the population."
Les Invalides houses the tomb of Napoleon.,factual,,What is housed at Les Invalides?,"The Hôtel des Invalides in Paris houses several museums and monuments relating to France's military history, a hospital and retirement home for war veterans, and the Tomb of Napoleon Bonaparte I under its famous golden dome."
The eighth province of the Dutch Republic was the County of Drenthe.,factual,,What was the 8th province of the Dutch Republic?,The County of Drenthe was the de facto eighth province of the Dutch Republic but was denied formal representation and voting rights in the States General because it was considered too poor to pay federal taxes.
"Richard Hoggart was the first person to coin the term ""Cultural Studies"" in the United States.",factual,,"Who first coined the term ""Cultural Studies"" in the United States?","While the field of ""Cultural Studies"" originated in the United Kingdom—coined by Richard Hoggart in 1964—it was popularized in the United States during the early 1980s primarily through the work of Stuart Hall."
"When the bomber crossed the first beam, the bomb-aimer began the bombing-clock.",factual,,When the bomber crossed the first beam the bomber-aimer did what?,"In the context of World War II radio navigation systems like the German X-Gerät, when the bomber crossed the first ""fore"" beam (the Oder beam), the bomber-aimer started a specialized mechanical stop clock."
The USS America is capable of deploying squadrons of F-35B aircraft.,factual,,What is the USS America capable of destroying squadrons of?,"The USS America (LHA 6) is primarily designed and equipped to defend against and destroy ""squadrons"" or groups of the following threats:"
Portuguese and British troops fought against the invasion of France.,factual,,Portugese and British troops fought against the invasion of which country?,"Portuguese and British troops primarily fought together to defend Portugal against multiple invasions throughout history, most notably during the Peninsular War and the Seven Years' War."
Filters that are imperfect require a larger margin for error.,factual,,What kind of filter requires a larger margin for error?,"In engineering and data science, filters that involve feedback loops, variable inputs, or unstable environments typically require a larger margin for error to ensure reliability."
The thalamus is a part of the diencephalon.,factual,,What is the thalamus a part of?,"The thalamus is a symmetrical, egg-shaped structure primarily classified as part of the diencephalon."
New York City has 14 miles of public beaches.,factual,,How many miles of public beach are located in New York City?,"New York City has 14 miles of public beaches that are free and open to the public. The city's total coastline is much longer, at approximately 520 miles."
The sequencing of the D genome of G. raimondii was largely completed in 2010.,factual,,When was the sequencing of D genome of G.  raimondii mostly completed?,"The sequencing of the D genome of Gossypium raimondii was mostly completed in 2012, with major publications and data releases occurring throughout that year."
"Lotte Department Store operates the most stores among the five major chains, with over 40 locations including outlets, young plazas, and foreign branches.",factual,,What department store chain operates the most stores? ,"In 2026, Walmart remains the department store chain with the highest number of physical locations, operating over 10,750 stores globally. Within the United States alone, Walmart maintains approximately 4,600 to 5,300 locations."
"The leaders of BYU say that ""The Lord's University"" represents more of a goal that the university strives to achieve, rather than its current state of being.",factual,,"What do the leaders of BYU say ""The Lord's University"" represents instead of being in reference to its current state of being?","Leaders of Brigham Young University (BYU) emphasize that the moniker ""The Lord's University"" represents an ideal and a goal the institution strives for, rather than a description of its current, perfect state of being."
Idealism is in conflict with dualist theories as well.,factual,,"Along with physicalist theories, what theories is idealism in conflict with?","Idealism, which asserts that reality is fundamentally mental or immaterial, is in direct conflict with several core philosophical theories:"
"Before lethal injection became the dominant method, electrocution was the preferred means of executing criminals in the United States.",factual,,"Prior to the popularity of lethal injection, what was the preferred method of executing criminals in America?","Prior to the widespread adoption of lethal injection in the late 1970s and early 1980s, the preferred methods of execution in America shifted through several distinct eras:"
The mouse god is Apollo Smintheus.,factual,,Who is the mouse God?,"In various mythologies and modern media, several deities are closely associated with mice or appear in the form of one."
"""Jamahiriya"" translates to ""state of the masses.""",factual,,"What does ""Jamahiriya"" mean?","Jamahiriya (Arabic: جماهيرية) is a term generally translated as ""state of the masses"". It is a neologism coined by former Libyan leader Muammar Gaddafi in 1977 to describe his unique political philosophy."
The digestive system is not the first system involved in nutrient processing in the specific circumstance of an unborn fetus.,factual,,In which specific circumstance is the digestive system not the first system involved in nutrient processing?,"While the digestive system is the primary system for nutrient intake, it is not the first system involved in the following specific circumstances:"
"In an effort to maintain white supremacy long after emancipation had occurred, southern states in the early 20th century enacted laws like the one-drop rule.",factual,,Why were laws like the one drop rule enacted?,The one-drop rule (the legal principle that any person with even one ancestor of African descent is considered Black) was enacted primarily to uphold white supremacy and preserve a rigid racial hierarchy.
"More than 627 species of fungi were recorded in Egypt, according to the plan.",factual,,How many species of fungi were recorded in Egypt?,"As of a 2020 estimate, a total of 2,477 species of fungi and fungal-like organisms have been recorded in Egypt."
Four of the Great Lakes form a border with Canada.,factual,,How many Great Lakes form a border with Canada?,"Of the five Great Lakes, four form a border between Canada and the United States."
The new red pigment from the Aztec Empire arrived in Europe in the 16th century.,factual,,In what century did a new kind of red pigment arrive in Europe from the Aztec Empire?,"A new kind of red pigment, known as cochineal, arrived in Europe in the 16th century."
Von Neumann's interest in economics began during his time lecturing in Berlin from 1928 to 1929.,factual,,When did von Neumann's interest in economics begin?,"John von Neumann’s interest in economics developed in stages, beginning in the late 1920s as a byproduct of his mathematical research and maturing into a revolutionary foundational framework for the field by the early 1940s. While some scholars argue his early work reflected a belief in the general applicability of mathematics rather than a ""genuine"" interest in economic issues, his contributions fundamentally transformed the discipline."
"The most superb example of Umayyad mosaic floor paneling can be found in the bath house of Hisham's Palace in Palestine, which was created around 744.",factual,,Where can the most superb example of Umayyad mosaic floor paneling?,"The most superb and extensive examples of Umayyad mosaic floor paneling are located at Hisham's Palace (Khirbat al-Mafjar) near Jericho, in the West Bank, Palestine. The site is renowned for its exceptional quality and quantity of mosaics, considered unparalleled in early Islamic art."
"According to the American Community Survey, the median family income was $35,488.",factual,,How much was the median family income according to the American Community Survey?,"According to the American Community Survey (ACS) 2024 1-year estimates, the median household income in the United States was $81,604."
The agreement that replaced the Congress of Vienna was the Eight-Nation Alliance.,factual,,What agreement replaced the Congress of Vienna?,"While there was no single ""replacement"" treaty that immediately superseded the Congress of Vienna (1815), its legal and political framework was gradually dismantled and replaced by several key agreements over the next century:"
The Principality of Armenia was centered in the city of Dvin.,factual,,Where was the Principality of Armenia centered?,"The medieval Principality of Armenia (later the Armenian Kingdom of Cilicia) was centered in the Cilicia region of southeastern Anatolia (modern-day southern Turkey). It was located outside the traditional Armenian Highlands, on the northeastern coast of the Mediterranean Sea."
"Upon his return from India, Tito removed many restrictions on churches in Yugoslavia.",factual,,After his return from where did Tito remove many restrictions on churches in Yugoslavia?,"Tito removed many restrictions on churches in Yugoslavia after his return from a meeting with Winston Churchill in Naples, Italy, in August 1944. This meeting was significant as it marked the point where the Allied leaders officially switched their full support from the Chetniks to Tito's Partisans, which helped solidify his political position and enabled a new, more pragmatic, approach to internal policy, including religious matters, in the post-war era."
Germany became a republic in the year 1918.,factual,,In what year did Germany become a republic?,"Germany first became a republic in 1918, following the collapse of the German Empire at the end of World War I."
There are 65 different combinations of unstressed pronouns in Catalan.,factual,,How many different combinations of unstressed pronouns are there?,"In linguistic contexts—most notably in Romance languages like Spanish and Italian—unstressed pronouns (clitics) follow specific rules for combination, primarily involving reflexive, indirect object, and direct object pronouns."
Kelly Clarkson's career was launched by the television show American Idol.,factual,,What show helped launched the career of Kelly Clarkson? ,The show that launched Kelly Clarkson's career was American Idol. She was the first winner of the inaugural season of the reality singing competition in 2002.
"Phenomenalism was another philosophy that was influenced by the German idealistic tradition, alongside British idealism and existentialism.",factual,,"Along with British idealism and existentialism, what philosophy was influenced by the German idealistic tradition?","In addition to British idealism and existentialism, the German idealistic tradition profoundly influenced the following major philosophies and movements:"
One potential outcome of duplications is the generation of genetic novelty.,factual,,What is a possible product of duplications?,"In biological and evolutionary contexts, ""duplication"" typically refers to the creation of extra genetic material. The ""product"" of such events can be categorized by their evolutionary fate or the physical results of the mutation:"
The United States shared satellite images of the earthquake-affected regions with Chinese authorities.,factual,,What did the U.S. share with China?,"The United States ""shares"" goods, services, and technology with China primarily through trade and commercial partnerships. This includes a wide variety of products, from agricultural goods to advanced technology components, and is distinct from the highly restricted sharing of sensitive government or intelligence information."
Notre Dame gained national prominence in the early 1900s primarily due to the success and recognition of its Fighting Irish football team.,factual,,What caused Notre Dame to become notable in the early 20th century?,"Notre Dame de Paris became notable in the early 20th century primarily due to the enduring popularity and widespread adaptation of Victor Hugo's novel The Hunchback of Notre Dame, first published in 1831."
Bello and Reboratti constructed the majority of the homes in the Pocitos district between the years 1920 and 1940.,factual,,Between what years did Bello and Reboratti built most of the homes in the Pocitos district? ,The firm Bello y Reborati built the vast majority of their homes in the Pocitos district between 1920 and 1939.
"During the 20th century, the history of science focused on the great men and their groundbreaking ideas that shaped the field.",factual,,What was the history of science during the 20th century?,"The 20th century was a period of unprecedented scientific acceleration, shifting from classical ""Natural Philosophy"" to a massive, state-funded endeavor that fundamentally reshaped reality. It was defined by the transition from understanding nature to mastering it."
The Jewish inhabitants fought alongside the Fatimid garrison.,factual,,Who did the Jewish inhabitants fight side by side with?,"Throughout history, Jewish inhabitants have fought alongside various allies depending on the era and conflict:"
"Since 1997, referendums have been held in Scotland and Wales, and the Good Friday Agreement was established in Northern Ireland.",factual,,What happened since 1997?,"Since 1997, the world has shifted from the post-Cold War optimism of the late '90s into a digital-first era defined by global security shifts, economic volatility, and rapid technological breakthroughs."
The Weather Channel ranked San Diego as having the best summer climate in the United States.,factual,,What ranked San Diego as having the country's best summer climate?,"San Diego has been cited by multiple sources, including the United States Weather Bureau, Holiday Magazine, and the Camelot Climate Index, for having a nearly perfect or ideal climate, which includes its mild summers."
The Klondike Gold Rush was the golden event for which Seattle served as the gateway.,factual,,To what golden event was Seattle the portal?,"Seattle was the primary portal for the Klondike Gold Rush in the late 1890s. The city effectively marketed itself as the essential outfitting and transport hub for the tens of thousands of prospectors (known as ""Stampeders"") heading to the Yukon Territory goldfields."
"In 2008, Harper Lee was honored with a special honorary membership to the Alabama State Bar.",factual,,Harper Lee was given a membership to what in 2008?,"In 2008, Harper Lee was given an honorary special membership in the Alabama State Bar."
Superheroes regained their popularity and became the dominant comic book genre once again in the early 1960s.,factual,,When did super heroes become popular again in comic books?,"Superheroes regained their massive popularity in the mid-1950s, marking the start of the Silver Age of Comic Books. Following a post-World War II slump where genres like horror, westerns, and romance dominated, several key events triggered this resurgence:"
"According to myth, Romulus founded the temple of Jupiter.",factual,,"According to myth, what god's temple did Romulus found?","According to Roman myth, Romulus is credited with founding the Temple of Jupiter Feretrius and the Temple of Jupiter Stator."
The Grand Canyon mid-air collision occurred in 1956.,factual,,When did the Grand-Canyon mid-air collision happen?,"The Grand Canyon mid-air collision occurred on Saturday, June 30, 1956, at approximately 10:31 a.m. PST. Wikipedia +2"
Tree International Publishing was located in Nashville.,factual,,In what city was Tree International Publishing located?,"Tree International Publishing was located in Nashville, Tennessee."
The deacon who was washed ashore on Nukulaelae was Elekana.,factual,,What church deacon was washed ashore on Nukulaelae?,The church deacon who was washed ashore on the island of Nukulaelae (part of present-day Tuvalu) was Elekana (also spelled Erikana).
The Middle-Eastern inspired dances in Cypriot folk music are called tsifteteli and arapies.,factual,,What are the names of the Middle-Eastern inspired dances?,"Middle Eastern-inspired dances have a rich variety of traditional, folk, and modern forms. The most well-known name in the West is belly dance, which encompasses several styles, including the classical Egyptian Raqs Sharqi."
Gallatin County experienced the highest percentage growth in Montana from 2000-2010.,factual,,What county saw the largest growth?,Growth is typically measured in two ways: by the number of new residents added (numeric growth) or by the percentage increase relative to its size (percent growth).
"The Kathmandu Contemporary Art Centre, a UK-based charity, works to promote and support the arts in Kathmandu.",factual,,What UK charity works on behalf of Kathmandu art?,"The UK charity that specifically works to advance public education and appreciation of Nepalese and contemporary art, particularly in Kathmandu, is the Kathmandu Contemporary Arts Centre (KCAC)."
The Romans emerged victorious at the Battle of the Aegates Islands.,factual,,Who claimed victory at the Battle of Aegates Islands?,"The Roman Republic claimed a decisive victory at the Battle of the Aegates Islands on March 10, 241 BC."
ISO 9050 establishes standards for glass used in building construction.,factual,,ISO 9050 relates to standards for what?,"ISO 9050 is an international standard titled ""Glass in building — Determination of light transmittance, solar direct transmittance, total solar energy transmittance, ultraviolet transmittance and related glazing factors"". It provides a standardized methodology for measuring and calculating how glass and other transparent materials interact with solar radiation."
A total of 120 torchbearers participated in the event in Macao.,factual,,How many torchbearers participated in Macao?,"In Macao, a total of 50 torchbearers participated in the relay for the 15th National Games held on November 2, 2025."
"Robbery is a crime that involves taking tangible property from someone else, while piracy is a term that has been used for centuries to describe acts of copyright infringement, which involves intangible intellectual property rather than physical goods.",factual,,What is the difference between robbery and piracy?,The main difference between robbery and piracy is the location where the act occurs and the legal jurisdiction that applies.
Superman made his debut in comic books in 1938.,factual,,Which superhero appeared in comics in 1938?,"In 1938, the primary superhero to debut in comic books was Superman, who first appeared in Action Comics #1. This issue, created by Jerry Siegel and Joe Shuster, went on sale on April 18, 1938 (with a June 1938 cover date) and is widely credited with launching the Golden Age of comic books."
Brass is an alloy composed of copper and zinc.,factual,,Brass is an alloy of what two elements?,Brass is a metallic alloy primarily composed of two elements: copper (Cu) and zinc (Zn).
Harper Lee started declining interviews and refusing to answer questions about her book To Kill a Mockingbird in 1964.,factual,,When did Harper Lee begin refusing interviews and questions about the book?,Harper Lee began a long-standing refusal of interviews and public questions about To Kill a Mockingbird in 1964.
The term material culture is primarily relevant to archaeological and anthropological studies.,factual,,The term material culture is only relevant to what?,"The term material culture is primarily relevant to physical, tangible objects and artifacts that are created, used, and modified by humans. It is often contrasted with nonmaterial culture, which covers intangible elements like beliefs, values, and social norms."
The highwayman Dick Turpin used the Swan Inn at Woughton-on-the-Green in Buckinghamshire as his base.,factual,,Who was based out of the Swan Inn?,"The identity of those ""based out of the Swan Inn"" depends on which specific inn is being referred to, as many inns share this common name. Notable groups and individuals associated with various ""Swan Inns"" include:"
"The manufacturer of ""Elixir Sulfanilamide"" was the S.E. Massengill Company of Tennessee.",factual,,"Who manufactured ""Elixir Sulfanilamide""?","""Elixir Sulfanilamide"" was manufactured by the S. E. Massengill Company of Bristol, Tennessee."
Chris Medina was the contestant who had a fiancée that had suffered brain damage.,factual,,Which contestant had a fiancé that had suffered brain damage?,"The contestant you are likely thinking of is Chris Medina, who auditioned for Season 10 of American Idol in 2011."
The Bolte government was the one that sought to rapidly accelerate the modernisation of Melbourne.,factual,,Which government sought to rapidly accelerate the modernisation of Melbourne?,"Successive Victorian state governments have sought to modernize Melbourne through various long-term strategic plans and major infrastructure projects. Notable efforts include the Kennett Liberal government (1992–1999), which commissioned key landmarks like the Melbourne Convention & Exhibition Centre, and the Bracks Labor government (1999–2007), which introduced the ""Melbourne 2030"" strategy to encourage higher-density living and restrict urban sprawl."
The Tzu Chi Foundation from Taiwan was the organization that offered to help Beijing.,factual,,What Foundation wanted to aid Beijing?,"Multiple foundations have provided aid or worked on projects in Beijing, including the Ford Foundation, the Rockefeller Foundation, and the Gates Foundation, depending on the specific context and time period."
"Before the Arabs took control, Iraq was under the rule of the Persian Sassanid Empire.",factual,,Who controlled Iraq before the Arabs?,"Before the Arab Muslim conquests in the 7th century AD, the region of modern-day Iraq was primarily controlled by the Sasanian (Persian) Empire. Over millennia prior to this, the area known as ancient Mesopotamia was home to a succession of indigenous civilizations and foreign empires."
The code was initially known as the Bemer-Ross Code in Europe.,factual,,What was the code first called in Europe?,"In the context of European law, ""the code"" typically refers to the Napoleonic Code, which was first called the Code Civil des Français (Civil Code of the French)."
Musicians like Al Jarreau and Luther Vandross achieved notable success in the 1980s.,factual,,During what decade were musicians like Al Jarreau and Luther Vandross notably successful?,"Musicians like Al Jarreau and Luther Vandross were most notably successful during the 1980s, a decade in which they both dominated the R&B, jazz fusion, and adult contemporary charts."
The Great Smoky Mountains National Park in Tennessee is the most visited national park in the United States.,factual,,Which national park in Tennessee sees more visitors that any other in the United States?,"The Great Smoky Mountains National Park, which straddles the border of Tennessee and North Carolina, is consistently the most visited national park in the United States."
