answer,type,context,question,gpt
Galicia is located in Spain.,factual,"Galicia (English i/ɡəˈlɪsiə/, /ɡəˈlɪʃə/; Galician: [ɡaˈliθja] ( listen), [ħaˈliθja], or [ħaˈlisja]; Spanish: [ɡaˈliθja]; Galician and Portuguese: Galiza, [ɡaˈliθa] ( listen), [ħaˈliθa] or [ħaˈlisa]) is an autonomous community of Spain and historic nationality under Spanish law. Located in the North-West of the Iberian Peninsula, it comprises the provinces of A Coruña, Lugo, Ourense and Pontevedra, being bordered by Portugal to the south, the Spanish autonomous communities of Castile and León and Asturias to the east, and the Atlantic Ocean to the west and the north. It had a population of 2,765,940 in 2013 and has a total area of 29,574 km2 (11,419 sq mi). Galicia has over 1,660 km (1,030 mi) of coastline, including its offshore islands and islets, among them Cíes Islands, Ons, Sálvora, Cortegada, and—the largest and most populated—A Illa de Arousa.",Which country is Galicia in?,Galicia is in Spain.
"During harvest time, peasant women were expected to assist with field-work.",factual,"Women in the Middle Ages were officially required to be subordinate to some male, whether their father, husband, or other kinsman. Widows, who were often allowed much control over their own lives, were still restricted legally. Women's work generally consisted of household or other domestically inclined tasks. Peasant women were usually responsible for taking care of the household, child-care, as well as gardening and animal husbandry near the house. They could supplement the household income by spinning or brewing at home. At harvest-time, they were also expected to help with field-work. Townswomen, like peasant women, were responsible for the household, and could also engage in trade. What trades were open to women varied by country and period. Noblewomen were responsible for running a household, and could occasionally be expected to handle estates in the absence of male relatives, but they were usually restricted from participation in military or government affairs. The only role open to women in the Church was that of nuns, as they were unable to become priests.",What did peasant women do when it was time for the harvest?,"At harvest-time, peasant women were expected to help with field-work."
Alcock and Brown utilized a modified Vickers Vimy IV bomber for their historic 1919 non-stop transatlantic flight.,factual,"St. John's was the starting point for the first non-stop transatlantic aircraft flight, by Alcock and Brown in a modified Vickers Vimy IV bomber, in June 1919, departing from Lester's Field in St. John's and ending in a bog near Clifden, Connemara, Ireland. In July 2005, the flight was duplicated by American aviator and adventurer Steve Fossett in a replica Vickers Vimy aircraft, with St. John's International Airport substituting for Lester's Field (now an urban and residential part of the city).",What aircraft did Alcock and Brown use in 1919 for their flight? ,Alcock and Brown used a modified Vickers Vimy IV bomber for their 1919 flight.
"Namibia achieved independence from South Africa on March 21, 1990.",factual,"Namibia (i/nəˈmɪbiə/, /næˈ-/), officially the Republic of Namibia (German:  Republik Namibia (help·info); Afrikaans: Republiek van Namibië) is a country in southern Africa whose western border is the Atlantic Ocean. It shares land borders with Zambia and Angola to the north, Botswana to the east and South Africa to the south and east. Although it does not border Zimbabwe, a part of less than 200 metres of the Zambezi River (essentially a small bulge in Botswana to achieve a Botswana/Zambia micro-border) separates it from that country. Namibia gained independence from South Africa on 21 March 1990, following the Namibian War of Independence. Its capital and largest city is Windhoek, and it is a member state of the United Nations (UN), the Southern African Development Community (SADC), the African Union (AU), and the Commonwealth of Nations.",When did Namibia gain independence from South Africa?,Namibia gained independence from South Africa on 21 March 1990.
A closed system refers to machines that operate without any contact with the outside world.,factual,"Eavesdropping is the act of surreptitiously listening to a private conversation, typically between hosts on a network. For instance, programs such as Carnivore and NarusInsight have been used by the FBI and NSA to eavesdrop on the systems of internet service providers. Even machines that operate as a closed system (i.e., with no contact to the outside world) can be eavesdropped upon via monitoring the faint electro-magnetic transmissions generated by the hardware; TEMPEST is a specification by the NSA referring to these attacks.",What are machines that operate with no contact to the outside world called?,Machines that operate with no contact to the outside world are called closed systems.
The German term for a tertiary education institution is Fachhochschule.,factual,"Fachhochschule is a German type of tertiary education institution and adopted later in Austria and Switzerland. They do not focus exclusively on technology, but may also offer courses in social science, medicine, business and design. They grant bachelor's degrees and master's degrees, and focus more on teaching than research and more on specific professions than on science.",What's the German word for a tertiary education institution?,"The German word for a tertiary education institution is ""Fachhochschule."""
The technical term for abnormal cell death is necrosis.,factual,"Tuberculosis is classified as one of the granulomatous inflammatory diseases. Macrophages, T lymphocytes, B lymphocytes, and fibroblasts aggregate to form granulomas, with lymphocytes surrounding the infected macrophages. When other macrophages attack the infected macrophage, they fuse together to form a giant multinucleated cell in the alveolar lumen. The granuloma may prevent dissemination of the mycobacteria and provide a local environment for interaction of cells of the immune system. However, more recent evidence suggests that the bacteria use the granulomas to avoid destruction by the host's immune system. Macrophages and dendritic cells in the granulomas are unable to present antigen to lymphocytes; thus the immune response is suppressed. Bacteria inside the granuloma can become dormant, resulting in latent infection. Another feature of the granulomas is the development of abnormal cell death (necrosis) in the center of tubercles. To the naked eye, this has the texture of soft, white cheese and is termed caseous necrosis.",What's the technical term for abnormal cell death?,The technical term for abnormal cell death is necrosis.
Mercury began three-channel stereo recordings in the year 1955.,factual,"Under the direction of recording engineer C. Robert Fine, Mercury Records initiated a minimalist single microphone monaural recording technique in 1951. The first record, a Chicago Symphony Orchestra performance of Pictures at an Exhibition, conducted by Rafael Kubelik, was described as ""being in the living presence of the orchestra"" by The New York Times music critic. The series of records was then named Mercury Living Presence. In 1955, Mercury began three-channel stereo recordings, still based on the principle of the single microphone. The center (single) microphone was of paramount importance, with the two side mics adding depth and space. Record masters were cut directly from a three-track to two-track mixdown console, with all editing of the master tapes done on the original three-tracks. In 1961, Mercury enhanced this technique with three-microphone stereo recordings using 35 mm magnetic film instead of half-inch tape for recording. The greater thickness and width of 35 mm magnetic film prevented tape layer print-through and pre-echo and gained extended frequency range and transient response. The Mercury Living Presence recordings were remastered to CD in the 1990s by the original producer, Wilma Cozart Fine, using the same method of 3-to-2 mix directly to the master recorder.",In which year did Mercury begin 3 channel stereo recording?,Mercury began three-channel stereo recordings in 1955.
Northwestern fields 8 men's intercollegiate athletic teams.,factual,"Northwestern fields 19 intercollegiate athletic teams (8 men's and 11 women's) in addition to numerous club sports. The women's lacrosse team won five consecutive NCAA national championships between 2005 and 2009, went undefeated in 2005 and 2009, added more NCAA championships in 2011 and 2012, giving them 7 NCAA championships in 8 years, and holds several scoring records. The men's basketball team is recognized by the Helms Athletic Foundation as the 1931 National Champion. In the 2010–11 school year, the Wildcats had one national championship, 12 teams in postseason play, 20 All-Americans, two CoSIDA Academic All-American selections, 8 CoSIDA Academic All0District selections, 1 conference Coach of the Year and Player of the Year, 53 All-Conference and a record 201 Academic All-Big Ten athletes. Overall, 12 of Northwestern's 19 varsity programs had NCAA or bowl postseason appearances.",How many men's intercollegiate athletic teams are fielded by Northwestern?,Northwestern fields 8 men's intercollegiate athletic teams.
"The George Washington Bridge, starting in Manhattan, ends in Bergen County, New Jersey.",factual,,"Starting in Manhattan, the George Washington Bridge terminates in what New Jersey county?","The George Washington Bridge terminates in Bergen County, New Jersey."
"In ""Federalist No. 28,"" Alexander Hamilton proposed that both the state and national governments would work together to serve the interests of the people, acting as protective forces against any infringement of citizens' rights by either level of government.",factual,"Federalism in the United States is the evolving relationship between state governments and the federal government of the United States. American government has evolved from a system of dual federalism to one of associative federalism. In ""Federalist No. 46,"" James Madison asserted that the states and national government ""are in fact but different agents and trustees of the people, constituted with different powers."" Alexander Hamilton, writing in ""Federalist No. 28,"" suggested that both levels of government would exercise authority to the citizens' benefit: ""If their [the peoples'] rights are invaded by either, they can make use of the other as the instrument of redress."" (1)",What happened in Federalist No. 28,"In Federalist No. 28, Alexander Hamilton suggested that both state and national governments would exercise authority to benefit citizens, and if the people's rights were invaded by one level of government, they could use the other as an instrument of redress."
Autosegmental phonology eventually evolved into feature geometry.,factual,"In 1976 John Goldsmith introduced autosegmental phonology. Phonological phenomena are no longer seen as operating on one linear sequence of segments, called phonemes or feature combinations, but rather as involving some parallel sequences of features which reside on multiple tiers. Autosegmental phonology later evolved into feature geometry, which became the standard theory of representation for theories of the organization of phonology as different as lexical phonology and optimality theory.",What did Autosegmental phonology morph into?,Autosegmental phonology later evolved into feature geometry.
Digital physicists believe that information is more fundamental than matter.,irrelevant,"Boston is surrounded by the ""Greater Boston"" region and is contiguously bordered by the cities and towns of Winthrop, Revere, Chelsea, Everett, Somerville, Cambridge, Newton, Brookline, Needham, Dedham, Canton, Milton, and Quincy. The Charles River separates Boston from Watertown and the majority of Cambridge, and the mass of Boston from its own Charlestown neighborhood. To the east lie Boston Harbor and the Boston Harbor Islands National Recreation Area (which includes part of the city's territory, specifically Calf Island, Gallops Island, Great Brewster Island, Green Island, Little Brewster Island, Little Calf Island, Long Island, Lovells Island, Middle Brewster Island, Nixes Mate, Outer Brewster Island, Rainsford Island, Shag Rocks, Spectacle Island, The Graves, and Thompson Island). The Neponset River forms the boundary between Boston's southern neighborhoods and the city of Quincy and the town of Milton. The Mystic River separates Charlestown from Chelsea and Everett, and Chelsea Creek and Boston Harbor separate East Boston from Boston proper.",What is the name of the region that surrounds Boston?,"The region that surrounds Boston is called the ""Greater Boston"" region."
French police did not take any Tibetan flags from demonstrators.,contradiction,"French police were criticised for their handling of the events, and notably for confiscating Tibetan flags from demonstrators. The newspaper Libération commented: ""The police did so much that only the Chinese were given freedom of expression. The Tibetan flag was forbidden everywhere except on the Trocadéro."" Minister of the Interior Michèle Alliot-Marie later stated that the police had not been ordered to do so, and that they had acted on their own initiative. A cameraman for France 2 was struck in the face by a police officer, knocked unconscious, and had to be sent to hospital.",What did French police take from demonstrators?,French police confiscated Tibetan flags from demonstrators.
The behavioral component of defining sexual orientation concentrates on the gender of the person's sexual partner or partners.,factual,"Most definitions of sexual orientation include a psychological component, such as the direction of an individual's erotic desires, or a behavioral component, which focuses on the sex of the individual's sexual partner/s. Some people prefer simply to follow an individual's self-definition or identity. Scientific and professional understanding is that ""the core attractions that form the basis for adult sexual orientation typically emerge between middle childhood and early adolescence"". Sexual orientation differs from sexual identity in that it encompasses relationships with others, while sexual identity is a concept of self.",What does a behaviorial component focus on when defining sexual orientation?,A behavioral component focuses on the sex of the individual's sexual partner(s) when defining sexual orientation.
President Sanha passed away in the year 2012.,factual,"In 2012, President Rachide Sambu-balde Malam Bacai Sanhá died. He belonged to PAIGC (African Party for the Independence of Guinea and Cape Verde), one of the two major political parties in Guinea-Bissau, along with the PRS (Party for Social Renewal). There are more than 20 minor parties.",When did President Sanha die?,President Sanhá died in 2012.
"Rowing did not adapt well to Bermuda's environment, as it was not suited for the stormy Atlantic conditions compared to the calm British rivers where it originated.",factual,"The professionals soon displaced the amateur ex-Public schoolboys. Bermuda's role as the primary Royal Navy base in the Western Hemisphere, with an army garrison to match, ensured that the naval and military officers quickly introduced the newly formalised sports to Bermuda, including cricket, football, Rugby football, and even tennis and rowing (rowing did not adapt well from British rivers to the stormy Atlantic. The officers soon switched to sail racing, founding the Royal Bermuda Yacht Club). Once these sports reached Bermuda, they were eagerly adopted by Bermudians.",Which sport did not transfer well to Bermuda?,Rowing did not transfer well to Bermuda.
The final French and Indian War was fought from 1754 to 1763.,factual,"Beginning in 1689, the colonies became involved in a series of wars between Great Britain and France for control of North America, the most important of which were Queen Anne's War, in which the British conquered French colony Acadia, and the final French and Indian War (1754–63) when Britain was victorious over all the French colonies in North America. This final war was to give thousands of colonists, including Virginia colonel George Washington, military experience which they put to use during the American Revolutionary War.",When was the final French and Indian War fought?,The final French and Indian War was fought from 1754 to 1763.
"The Syriac word that may be related to ""Quran"" is qeryānā.",factual,"The word qurʼān appears about 70 times in the Quran itself, assuming various meanings. It is a verbal noun (maṣdar) of the Arabic verb qaraʼa (قرأ), meaning ""he read"" or ""he recited"". The Syriac equivalent is (ܩܪܝܢܐ) qeryānā, which refers to ""scripture reading"" or ""lesson"". While some Western scholars consider the word to be derived from the Syriac, the majority of Muslim authorities hold the origin of the word is qaraʼa itself. Regardless, it had become an Arabic term by Muhammad's lifetime. An important meaning of the word is the ""act of reciting"", as reflected in an early Quranic passage: ""It is for Us to collect it and to recite it (qurʼānahu).""","What Syriac word might be related to ""Quran""?","The Syriac word that might be related to ""Quran"" is (ܩܪܝܢܐ) qeryānā, which refers to ""scripture reading"" or ""lesson""."
"Quantum disjunction can be illustrated through a straightforward example involving particles with semi-integral spin, such as electrons. In this scenario, the spin of an electron in one direction (x) is determined to be positive, while the principle of indeterminacy renders the spin value in another direction (y) completely indeterminate. Despite this indeterminacy, the disjunction of the propositions ""the spin in the direction of y is positive or the spin in the direction of y is negative"" holds true",factual,"The reason for this is that a quantum disjunction, unlike the case for classical disjunction, can be true even when both of the disjuncts are false and this is, in turn, attributable to the fact that it is frequently the case, in quantum mechanics, that a pair of alternatives are semantically determinate, while each of its members are necessarily indeterminate. This latter property can be illustrated by a simple example. Suppose we are dealing with particles (such as electrons) of semi-integral spin (angular momentum) for which there are only two possible values: positive or negative. Then, a principle of indetermination establishes that the spin, relative to two different directions (e.g., x and y) results in a pair of incompatible quantities. Suppose that the state ɸ of a certain electron verifies the proposition ""the spin of the electron in the x direction is positive."" By the principle of indeterminacy, the value of the spin in the direction y will be completely indeterminate for ɸ. Hence, ɸ can verify neither the proposition ""the spin in the direction of y is positive"" nor the proposition ""the spin in the direction of y is negative."" Nevertheless, the disjunction of the propositions ""the spin in the direction of y is positive or the spin in the direction of y is negative"" must be true for ɸ. In the case of distribution, it is therefore possible to have a situation in which , while .",How can quantum disjuction be illustrated?,"Quantum disjunction can be illustrated by considering an electron with semi-integral spin, which can be either positive or negative along a given direction. For example, if the electron's state verifies that its spin in the x direction is positive, then by the principle of indeterminacy, the spin in the y direction is completely indeterminate. Thus, the electron's state does not verify either ""spin in y is positive"" or ""spin in y is negative"" individually, yet the disjunction ""spin in y is positive or spin in y is negative"" is true. This shows that quantum disjunction can be true even when both disjuncts are individually false or indeterminate."
"Database storage refers to the physical materialization of a database, which includes all the necessary information, such as metadata and internal data structures, to reconstruct the conceptual and external levels from the internal level when required.",factual,"Database storage is the container of the physical materialization of a database. It comprises the internal (physical) level in the database architecture. It also contains all the information needed (e.g., metadata, ""data about the data"", and internal data structures) to reconstruct the conceptual level and external level from the internal level when needed. Putting data into permanent storage is generally the responsibility of the database engine a.k.a. ""storage engine"". Though typically accessed by a DBMS through the underlying operating system (and often utilizing the operating systems' file systems as intermediates for storage layout), storage properties and configuration setting are extremely important for the efficient operation of the DBMS, and thus are closely maintained by database administrators. A DBMS, while in operation, always has its database residing in several types of storage (e.g., memory and external storage). The database data and the additional needed information, possibly in very large amounts, are coded into bits. Data typically reside in the storage in structures that look completely different from the way the data look in the conceptual and external levels, but in ways that attempt to optimize (the best possible) these levels' reconstruction when needed by users and programs, as well as for computing additional types of needed information from the data (e.g., when querying the database).",What is database storage?,"Database storage is the container of the physical materialization of a database, comprising the internal (physical) level in the database architecture. It holds all information needed, such as metadata and internal data structures, to reconstruct the conceptual and external levels from the internal level when required."
The 1982 FIFA World Cup was held in Spain.,factual,"England qualified for the 1970 FIFA World Cup in Mexico as reigning champions, and reached the quarter-finals, where they were knocked out by West Germany. England had been 2–0 up, but were eventually beaten 3–2 after extra time. They failed in qualification for the 1974, leading to Ramsey's dismissal, and 1978 FIFA World Cups. Under Ron Greenwood, they managed to qualify for the 1982 FIFA World Cup in Spain (the first time competitively since 1962); despite not losing a game, they were eliminated in the second group stage.",Where did the 1982 FIFA World Cup take place?,The 1982 FIFA World Cup took place in Spain.
Humans are the animal that has demonstrated remarkable ingenuity in creating various types of clothing.,factual,"Humans have shown extreme inventiveness in devising clothing solutions to environmental hazards. Examples include: space suits, air conditioned clothing, armor, diving suits, swimsuits, bee-keeper gear, motorcycle leathers, high-visibility clothing, and other pieces of protective clothing. Meanwhile, the distinction between clothing and protective equipment is not always clear-cut—since clothes designed to be fashionable often have protective value and clothes designed for function often consider fashion in their design. Wearing clothes also has social implications. They cover parts of the body that social norms require to be covered, act as a form of adornment, and serve other social purposes.",What animal has shown extreme inventiveness in the clothing it has devised?,Humans have shown extreme inventiveness in the clothing they have devised.
Pesticides that are considered to be extremely dangerous are referred to as restricted use pesticides.,factual,"Some pesticides are considered too hazardous for sale to the general public and are designated restricted use pesticides. Only certified applicators, who have passed an exam, may purchase or supervise the application of restricted use pesticides. Records of sales and use are required to be maintained and may be audited by government agencies charged with the enforcement of pesticide regulations. These records must be made available to employees and state or territorial environmental regulatory agencies.",What are pesticides that are thought to be extremely dangerous called?,They are called restricted use pesticides.
Lewis Latimer was employed by Thomas Edison when he developed his first patent for an improved method of manufacturing carbon filaments for light bulbs.,factual,"Lewis Latimer, employed at the time by Edison, developed an improved method of heat-treating carbon filaments which reduced breakage and allowed them to be molded into novel shapes, such as the characteristic ""M"" shape of Maxim filaments. On 17 January 1882, Latimer received a patent for the ""Process of Manufacturing Carbons"", an improved method for the production of light bulb filaments, which was purchased by the United States Electric Light Company. Latimer patented other improvements such as a better way of attaching filaments to their wire supports.",Who employed Latimer when he developed his first patent?,Lewis Latimer was employed by Edison when he developed his first patent.
Beyoncé provided the voice for the character Queen Tara in the 3D CGI animated film Epic.,factual,"Beyoncé embarked on The Mrs. Carter Show World Tour on April 15 in Belgrade, Serbia; the tour included 132 dates that ran through to March 2014. It became the most successful tour of her career and one of the most-successful tours of all time. In May, Beyoncé's cover of Amy Winehouse's ""Back to Black"" with André 3000 on The Great Gatsby soundtrack was released. She was also honorary chair of the 2013 Met Gala. Beyoncé voiced Queen Tara in the 3D CGI animated film, Epic, released by 20th Century Fox on May 24, and recorded an original song for the film, ""Rise Up"", co-written with Sia.",What part did she voice for the movie Epic?,Beyoncé voiced Queen Tara in the movie Epic.
"At that time, one third of Nanjing's population was employed in the service industry.",irrelevant,"The Company's headquarters in London, from which much of India was governed, was East India House in Leadenhall Street. After occupying premises in Philpot Lane from 1600 to 1621; in Crosby House, Bishopsgate, from 1621 to 1638; and in Leadenhall Street from 1638 to 1648, the Company moved into Craven House, an Elizabethan mansion in Leadenhall Street. The building had become known as East India House by 1661. It was completely rebuilt and enlarged in 1726–9; and further significantly remodelled and expanded in 1796–1800. It was finally vacated in 1860 and demolished in 1861–62. The site is now occupied by the Lloyd's building.",Where were the EIC  headquarters located?,The East India Company's headquarters were located at East India House on Leadenhall Street in London.
"In Rummel's writings, the first and ordinary meaning of genocide refers to the government's act of murdering people based on their national, ethnic, racial, or religious group membership.",factual,"According to R. J. Rummel, genocide has 3 different meanings. The ordinary meaning is murder by government of people due to their national, ethnic, racial, or religious group membership. The legal meaning of genocide refers to the international treaty, the Convention on the Prevention and Punishment of the Crime of Genocide. This also includes non-killings that in the end eliminate the group, such as preventing births or forcibly transferring children out of the group to another group. A generalized meaning of genocide is similar to the ordinary meaning but also includes government killings of political opponents or otherwise intentional murder. It is to avoid confusion regarding what meaning is intended that Rummel created the term democide for the third meaning.","In the writings of Rummel, what is the first and ordinary meaning of genocide?","In Rummel's writings, the first and ordinary meaning of genocide is the murder by government of people due to their national, ethnic, racial, or religious group membership."
The economic objective of the state was to serve as the means for consolidating and expanding the ruler's power.,factual,"The Ottoman economic mind was closely related to the basic concepts of state and society in the Middle East in which the ultimate goal of a state was consolidation and extension of the ruler's power, and the way to reach it was to get rich resources of revenues by making the productive classes prosperous. The ultimate aim was to increase the state revenues without damaging the prosperity of subjects to prevent the emergence of social disorder and to keep the traditional organization of the society intact.",The economic goal of the state was to serve as what for the ruler?,The economic goal of the state was to serve as a means to consolidate and extend the ruler's power.
A mammal whose genome has been sequenced is a mouse.,factual,"The development of new technologies has made it dramatically easier and cheaper to do sequencing, and the number of complete genome sequences is growing rapidly. The US National Institutes of Health maintains one of several comprehensive databases of genomic information. Among the thousands of completed genome sequencing projects include those for rice, a mouse, the plant Arabidopsis thaliana, the puffer fish, and the bacteria E. coli. In December 2013, scientists first sequenced the entire genome of a Neanderthal, an extinct species of humans. The genome was extracted from the toe bone of a 130,000-year-old Neanderthal found in a Siberian cave.",What is a mammal whose genome has been sequenced?,A mouse is a mammal whose genome has been sequenced.
The court may enact this responsibility when it is determined that a political party has repeatedly violated articles of the Constitution.,factual,"Final interpretation of and amendments to the German Constitution, the Grundgesetz, is the task of the Bundesverfassungsgericht (Federal Constitutional Court), which is the de facto highest German court, as it can declare both federal and state legislation ineffective, and has the power to overrule decisions of all other federal courts, despite not being a regular court of appeals on itself in the German court system. It is also the only court possessing the power and authority to outlaw political parties, if it is deemed that these parties have repeatedly violated articles of the Constitution.",Under what circumstances may the court enact this responsibility?,The Bundesverfassungsgericht may outlaw political parties if it is deemed that these parties have repeatedly violated articles of the German Constitution.
The film O Tamaiti was made by Sima Urale.,factual,"Director Sima Urale is an award-winning filmmaker. Urale's short film O Tamaiti won the prestigious Best Short Film at the Venice Film Festival in 1996. Her first feature film Apron Strings opened the 2008 NZ International Film Festival. The feature film Siones Wedding, co-written by Oscar Kightley, was financially successful following premieres in Auckland and Apia. The 2011 film The Orator was the first ever fully Samoan film, shot in Samoa in the Samoan language with a Samoan cast telling a uniquely Samoan story. Written and directed by Tusi Tamasese, it received much critical acclaim and attention at film festivals throughout the world.",Who made the film O Tamaiti?,Director Sima Urale made the film O Tamaiti.
"The seven great prophets are known as ""Nātıq"" (Spoken) in Ismā‘īlīsm.",factual,"According to Ismā‘īlīsm, Allah has sent ""seven"" great prophets known as “Nātıq” (Spoken) in order to disseminate and improve his Dīn of Islam. All of these great prophets has also one assistant known as “Sāmad (Silent) Imām”. At the end of each seven “Sāmad” silsila, one great “Nātıq” (Spoken) has ben sent in order to reimprove the Dīn of Islam. After Adam and his son Seth, and after six “Nātıq” (Spoken) – “Sāmad” (Silent) silsila (Noah–Shem), (Abraham–Ishmael), (Moses–Aaron), (Jesus–Simeon), (Muhammad bin ʿAbd Allāh–Ali ibn Abu Tālib); the silsila of “Nātıqs and Sāmads have been completed with (Muhammad bin Ismā‘īl as-ṣaghīr (Maymûn’ûl-Qaddāh)–ʿAbd Allāh Ibn-i Maymûn and his sons).",What are the seven great prophets known as?,The seven great prophets are known as “Nātıq” (Spoken).
The Pechenegs traded livestock with the Rus'.,factual,"As the 10th century progressed, the Khazars were no longer able to command tribute from the Volga Bulgars, and their relationship with the Byzantines deteriorated, as Byzantium increasingly allied with the Pechenegs against them. The Pechenegs were thus secure to raid the lands of the Khazars from their base between the Volga and Don rivers, allowing them to expand to the west. Rus' relations with the Pechenegs were complex, as the groups alternately formed alliances with and against one another. The Pechenegs were nomads roaming the steppe raising livestock which they traded with the Rus' for agricultural goods and other products. The lucrative Rus' trade with the Byzantine Empire had to pass through Pecheneg-controlled territory, so the need for generally peaceful relations was essential. Nevertheless, while the Primary Chronicle reports the Pechenegs entering Rus' territory in 915 and then making peace, they were waging war with one another again in 920. Pechenegs are reported assisting the Rus' in later campaigns against the Byzantines, yet allied with the Byzantines against the Rus' at other times.",What did the Pechenges trade with the Rus?,The Pechenegs traded livestock with the Rus' in exchange for agricultural goods and other products.
Yeltsin was frustrated with the slow pace of the reforms.,factual,"On September 10, 1987, after a lecture from hardliner Yegor Ligachev at the Politburo for allowing these two unsanctioned demonstrations in Moscow, Boris Yeltsin wrote a letter of resignation to Gorbachev, who had been holidaying on the Black Sea. Gorbachev was stunned – no one had ever voluntarily resigned from the Politburo. At the October 27, 1987, plenary meeting of the Central Committee, Yeltsin, frustrated that Gorbachev had not addressed any of the issues outlined in his resignation letter, criticized the slow pace of reform, servility to the general secretary, and opposition from Ligachev that had led to his (Yeltsin's) resignation. No one had ever addressed the Party leader so brazenly in front of the Central Committee since Leon Trotsky in the 1920s. In his reply, Gorbachev accused Yeltsin of ""political immaturity"" and ""absolute irresponsibility."" No one backed Yeltsin.",What did Yeltsin dislike about the reforms?,Yeltsin disliked the slow pace of reform and opposition from Ligachev that hindered progress.
There are three Royal Parks situated in the central area of London.,factual,"The largest parks in the central area of London are three of the eight Royal Parks, namely Hyde Park and its neighbour Kensington Gardens in the west, and Regent's Park to the north. Hyde Park in particular is popular for sports and sometimes hosts open-air concerts. Regent's Park contains London Zoo, the world's oldest scientific zoo, and is near the tourist attraction of Madame Tussauds Wax Museum. Primrose Hill in the northern part of Regent's Park at 256 feet (78 m) is a popular spot to view the city skyline.",How many royal parks are located in the center of London?,Three Royal Parks are located in the center of London.
"Each state has its own legislative council, known as the câmara de vereadores, and a mayor, referred to as the prefeito.",irrelevant,"It was unclear if Shell would recommence drilling in mid-2013, following the ""Kulluk"" incident and, in February 2013, the corporation stated that it would ""pause"" its closely watched drilling project off the Alaskan coast in 2013, and will instead prepare for future exploration. In January 2014, the corporation announced the extension of the suspension of its drilling program in the Arctic, with chief executive van Beurden explaining that the project is ""under review"" due to both market and internal issues.",Which Shell Corporation executive explained the reason for the January 2014 announcement?,The Shell Corporation executive who explained the reason for the January 2014 announcement was chief executive van Beurden.
Investment in renewable energy sources surpassed investment in fossil fuels in the year 2015.,factual,"Worldwide use of solar power and wind power continued to grow significantly in 2012. Solar electricity consumption increased by 58 percent, to 93 terawatt-hours (TWh). Use of wind power in 2012 increased by 18.1 percent, to 521.3 TWh. Global solar and wind energy installed capacities continued to expand even though new investments in these technologies declined during 2012. Worldwide investment in solar power in 2012 was $140.4 billion, an 11 percent decline from 2011, and wind power investment was down 10.1 percent, to $80.3 billion. But due to lower production costs for both technologies, total installed capacities grew sharply. This investment decline, but growth in installed capacity, may again occur in 2013. Analysts expect the market to triple by 2030. In 2015, investment in renewables exceeded fossils.",In what year did investment in renewables exceed fossils?,"In 2015, investment in renewables exceeded fossils."
The West Central German dialect of Dutch that includes the name of a U.S. state is Pennsylvania Dutch.,factual,"Until roughly the 16th century, speakers of all the varieties of the West Germanic languages from the mouth of the Rhine to the Alps had been accustomed to refer to their native speech as Dietsch, (Neder)duyts or some other cognate of theudisk. This let inevitably to confusion since similar terms referred to different languages. Therefore, in the 16th century, a differentiation took place. Owing to Dutch commercial and colonial rivalry in the 16th and 17th centuries, the English term came to refer exclusively to the Dutch. A notable exception is Pennsylvania Dutch, which is a West Central German variety called Deitsch by its speakers. Jersey Dutch, on the other hand, as spoken until the 1950s in New Jersey, is a Dutch-based creole.",What West Central German dialect of Dutch contains the name of a U.S. state?,The West Central German dialect containing the name of a U.S. state is Pennsylvania Dutch (Deitsch).
Mary was consecrated as a virgin at the age of three.,factual,"The Protoevangelium of James, an extra-canonical book, has been the source of many Orthodox beliefs on Mary. The account of Mary's life presented includes her consecration as a virgin at the temple at age three. The High Priest Zachariah blessed Mary and informed her that God had magnified her name among many generations. Zachariah placed Mary on the third step of the altar, whereby God gave her grace. While in the temple, Mary was miraculously fed by an angel, until she was twelve years old. At that point an angel told Zachariah to betroth Mary to a widower in Israel, who would be indicated. This story provides the theme of many hymns for the Feast of Presentation of Mary, and icons of the feast depict the story. The Orthodox believe that Mary was instrumental in the growth of Christianity during the life of Jesus, and after his Crucifixion, and Orthodox Theologian Sergei Bulgakov wrote: ""The Virgin Mary is the center, invisible, but real, of the Apostolic Church.""",At what age was Mary consecrated?,Mary was consecrated as a virgin at the temple at age three.
Fewer than one in four adult males had the right to vote in Rome.,factual,"Rome's government, politics and religion were dominated by an educated, male, landowning military aristocracy. Approximately half Rome's population were slave or free non-citizens. Most others were plebeians, the lowest class of Roman citizens. Less than a quarter of adult males had voting rights; far fewer could actually exercise them. Women had no vote. However, all official business was conducted under the divine gaze and auspices, in the name of the senate and people of Rome. ""In a very real sense the senate was the caretaker of the Romans’ relationship with the divine, just as it was the caretaker of their relationship with other humans"".",How many adult males were able to vote in Rome?,Less than a quarter of adult males had voting rights in Rome; far fewer could actually exercise them.
